,Systematic name,RNA pol II  presence (per gene),TR indirect (mol/hour),TR (mol/hour)
3394,YJL185C,,0.696,
3395,YJL186W,0.235,9.138,12.018
3396,YJL187C,0.1438,0.642,5.2620000000000005
3397,YJL188C,0.123,,35.952
3398,YJL189W,0.4772,,79.392
3399,YJL190C,0.119,214.602,27.330000000000002
3400,YJL191W,,6.4799999999999995,
3401,YJL192C,0.0342,9.252,4.368
3402,YJL193W,,0.828,
3403,YJL194W,0.1091,,6.372
3404,YJL195C,0.0364,,4.6739999999999995
3405,YJL196C,0.0995,22.842,9.606
3406,YJL197C-A,,,
3407,YJL197W,0.2375,2.3760000000000003,5.676
3408,YJL198W,0.2043,11.82,6.954000000000001
3409,YJL199C,,1.6380000000000001,
3410,YJL200C,0.184,14.97,6.99
3411,YJL201W,,8.549999999999999,
3412,YJL202C,,,
3413,YJL203W,0.0672,,7.182
3414,YJL204C,0.0567,1.902,2.0220000000000002
3415,YJL205C,,,
3416,YJL206C,0.0945,0.75,3.738
3417,YJL207C,0.2767,0.768,4.122
3418,YJL208C,0.0748,3.1020000000000003,6.804
3419,YJL209W,0.1541,,7.062
3420,YJL210W,0.0563,1.332,6.216
3421,YJL211C,0.0419,0.114,8.52
3422,YJL212C,0.2405,13.014000000000001,9.024000000000001
3423,YJL213W,0.1622,0.996,14.67
3424,YJL214W,0.0445,0.186,2.346
3425,YJL215C,0.0198,0.072,4.974
3426,YJL216C,0.0685,0.44999999999999996,3.5340000000000003
3427,YJL217W,0.0834,4.6739999999999995,12.594
3428,YJL218W,,3.924,
3429,YJL219W,,,
3430,YJL220W,0.0042,,0.834
3431,YJL221C,0.0278,,1.41
3432,YJL222W,0.1464,,2.832
3433,YJL222W-A,,,
3434,YJL222W-B,,,
3435,YJL223C,,,
3436,YJL225C,,,
3437,YJL225W-A,,,
3438,YJR001W,0.1262,11.982,6.282
3439,YJR002W,0.255,7.973999999999999,12.882
3440,YJR003C,0.115,15.654000000000002,6.642
3441,YJR004C,0.112,0.42,5.1659999999999995
3442,YJR005C-A,,,
3443,YJR005W,0.1583,4.2059999999999995,6.774
3444,YJR006W,0.0703,3.6719999999999997,4.326
3445,YJR007W,0.1111,43.296,10.937999999999999
3446,YJR008W,0.0643,3.312,5.694
3447,YJR009C,0.4011,,36.168
3448,YJR010C-A,,0.654,
3449,YJR010W,0.0394,5.562,2.31
3450,YJR011C,0.0268,1.962,3.078
3451,YJR012C,0.0392,,5.6579999999999995
3452,YJR013W,0.0799,4.974,5.94
3453,YJR014W,0.1095,8.382,16.536
3454,YJR015W,0.0865,2.1599999999999997,5.082
3455,YJR016C,0.4423,16.253999999999998,22.656
3456,YJR017C,0.1311,5.604,23.04
3457,YJR018W,0.0361,,8.969999999999999
3458,YJR019C,0.0776,,6.654
3459,YJR020W,0.0203,,5.502000000000001
3460,YJR021C,0.109,0.522,9.582
3461,YJR022W,0.031,,8.466000000000001
3462,YJR023C,0.0179,,4.014
3463,YJR024C,0.0735,,9.012
3464,YJR025C,0.02,10.326,3.378
3465,YJR030C,0.1591,,6.402
3466,YJR031C,0.1711,1.098,3.642
3467,YJR032W,0.0872,7.542000000000001,6.642
3468,YJR033C,0.1919,1.602,4.242
3469,YJR034W,,,
3470,YJR035W,,1.068,
3471,YJR036C,0.03,1.494,1.008
3472,YJR037W,,,
3473,YJR038C,0.0085,0.102,2.118
3474,YJR039W,0.0946,,2.532
3475,YJR040W,0.1248,14.436,4.806
3476,YJR041C,0.1561,2.196,3.984
3477,YJR042W,0.2321,4.146,9.347999999999999
3478,YJR043C,0.0532,2.106,4.553999999999999
3479,YJR044C,,12.294,
3480,YJR045C,1.0503,26.052,48.132000000000005
3481,YJR046W,0.1807,,8.964
3482,YJR047C,0.0746,6.486,14.196
3483,YJR048W,0.0361,2.646,9.882000000000001
3484,YJR049C,0.131,8.148,7.404
3485,YJR050W,0.1073,,13.656
3486,YJR051W,0.1045,8.454,6.252
3487,YJR052W,0.1188,,6.3
3488,YJR053W,0.093,0.204,4.854
3489,YJR054W,0.1085,,6.54
3490,YJR055W,0.0734,1.8780000000000001,13.373999999999999
3491,YJR056C,0.0593,,7.518
3492,YJR057W,0.0524,,7.26
3493,YJR058C,0.0215,,4.3740000000000006
3494,YJR059W,,2.34,
3495,YJR060W,0.1094,5.184,9.335999999999999
3496,YJR061W,0.0851,0.198,2.73
3497,YJR062C,0.0685,4.656000000000001,4.488
3498,YJR063W,0.0273,3.864,6.528
3499,YJR064W,0.1547,38.412,8.25
3500,YJR065C,0.1333,14.754000000000001,8.892
3501,YJR066W,0.325,1.0739999999999998,3.948
3502,YJR067C,,,
3503,YJR068W,0.0668,60.42600000000001,5.664
3504,YJR069C,,,
3505,YJR070C,0.26,69.096,23.946
3506,YJR071W,0.0286,0.534,6.984
3507,YJR072C,0.2631,16.889999999999997,20.466
3508,YJR073C,0.0582,14.37,8.448
3509,YJR074W,0.0293,2.058,4.026000000000001
3510,YJR075W,0.0889,14.622,6.726
3511,YJR076C,0.1181,27.582,8.526
3512,YJR077C,0.1188,14.736,11.436
3513,YJR078W,,,
3514,YJR079W,,,
3515,YJR080C,0.0459,,3.492
3516,YJR082C,0.0329,10.644,8.682
3517,YJR083C,0.0617,2.0220000000000002,5.982
3518,YJR084W,0.1114,,7.8839999999999995
3519,YJR085C,0.04,23.357999999999997,11.370000000000001
3520,YJR086W,0.08,,21.684
3521,YJR087W,,,
3522,YJR088C,0.1016,,10.416
3523,YJR089W,0.1183,0.882,3.7199999999999998
3524,YJR090C,0.2572,2.076,6.702
3525,YJR091C,,1.068,
3526,YJR092W,0.6896,2.172,14.292
3527,YJR093C,0.0701,6.75,6.42
3528,YJR094C,0.0277,,2.304
3529,YJR094W-A,,235.566,
3530,YJR095W,0.0073,0.15,0.6779999999999999
3531,YJR096W,,3.33,
3532,YJR097W,0.0186,1.098,3.234
3533,YJR098C,0.0681,0.23399999999999999,3.1199999999999997
3534,YJR099W,0.0232,,2.94
3535,YJR100C,0.0501,,4.59
3536,YJR101W,0.0692,,7.788
3537,YJR102C,0.0357,1.8719999999999999,5.286
3538,YJR103W,0.2002,2.172,10.638000000000002
3539,YJR104C,0.5258,81.534,101.988
3540,YJR105W,0.1651,19.872,14.537999999999998
3541,YJR106W,0.0916,1.008,3.786
3542,YJR107W,0.0821,4.272,7.494
3543,YJR108W,0.0186,0.912,4.524
3544,YJR109C,0.2084,3.786,5.5920000000000005
3545,YJR110W,0.0851,3.7620000000000005,3.708
3546,YJR111C,0.0681,0.9480000000000001,7.2059999999999995
3547,YJR112W,0.0664,3.5340000000000003,9.882000000000001
3548,YJR112W-A,,,
3549,YJR113C,0.1522,,18.438000000000002
3550,YJR114W,0.0842,,19.337999999999997
3551,YJR115W,0.0918,1.914,16.23
3552,YJR116W,0.0349,1.716,3.7439999999999998
3553,YJR117W,0.0959,15.611999999999998,6.3420000000000005
3554,YJR118C,0.0207,4.782,3.048
3555,YJR119C,0.0426,0.69,1.752
3556,YJR120W,,14.484,
3557,YJR121W,0.1967,18.726,11.532
3558,YJR122W,0.1059,0.696,6.3839999999999995
3559,YJR123W,0.3447,145.518,45.828
3560,YJR124C,0.0761,1.632,5.088
3561,YJR125C,0.089,15.906,6.534
3562,YJR126C,0.1832,4.4639999999999995,6.774
3563,YJR127C,0.3991,4.944,8.67
3564,YJR128W,,0.402,
3565,YJR129C,0.2249,3.846,19.86
3566,YJR130C,0.1268,3.696,5.946
3567,YJR131W,0.0692,0.23399999999999999,3.774
3568,YJR132W,0.3679,2.214,10.524000000000001
3569,YJR133W,0.0447,6.0600000000000005,6.39
3570,YJR134C,0.1391,3.768,5.8919999999999995
3571,YJR135C,0.0534,1.2,6.684
3572,YJR135W-A,,,
3573,YJR136C,0.0705,,5.016
3574,YJR137C,0.3592,9.948,7.47
3575,YJR138W,,,
3576,YJR139C,0.1214,35.46,10.128
3577,YJR140C,,0.906,
3578,YJR140W-A,,,
3579,YJR141W,0.063,1.77,5.436
3580,YJR142W,0.0799,2.964,6.9959999999999996
3581,YJR143C,0.139,13.475999999999999,5.472
3582,YJR144W,0.1398,25.776,15.552
3583,YJR145C,0.3438,,29.724
3584,YJR146W,0.0327,,8.346
3585,YJR147W,0.3773,4.098,31.560000000000002
3586,YJR148W,0.1291,22.05,10.278
3587,YJR149W,0.0239,0.108,1.776
3588,YJR150C,,0.114,
3589,YJR151C,0.2534,0.9840000000000001,6.546
3590,YJR151W-A,,,
3591,YJR152W,0.0686,1.068,3.786
3592,YJR153W,0.0447,0.276,3.708
3593,YJR154W,0.0476,,4.122
3594,YJR155W,0.0361,1.71,3.75
3595,YJR156C,,,
3596,YJR157W,,,
3597,YJR158W,0.0157,,0.834
3598,YJR159W,0.0103,,0.864
3599,YJR160C,0.0409,,2.034
3600,YJR161C,,,
3601,YJR162C,,,
3602,YKL001C,0.0619,,9.168
3603,YKL002W,0.0784,8.292,9.216
3604,YKL003C,0.0411,,9.36
3605,YKL004W,0.0584,25.254,4.368
3606,YKL005C,0.0685,1.1580000000000001,3.456
3607,YKL006C-A,,,
3608,YKL006W,0.6488,124.536,71.736
3609,YKL007W,0.0646,,7.212
3610,YKL008C,0.1615,6.942,11.574
3611,YKL009W,0.1007,43.842,12.762
3612,YKL010C,0.2835,1.1099999999999999,5.73
3613,YKL011C,0.0664,,5.6339999999999995
3614,YKL012W,0.1005,,5.1659999999999995
3615,YKL013C,0.06,13.254000000000001,10.488000000000001
3616,YKL014C,0.3669,1.572,6.239999999999999
3617,YKL015W,0.1027,8.106,3.144
3618,YKL016C,0.0387,41.856,6.642
3619,YKL017C,0.123,,5.3999999999999995
3620,YKL018C-A,0.0234,,7.0440000000000005
3621,YKL018W,0.0504,,4.584
3622,YKL019W,0.0821,,7.782000000000001
3623,YKL020C,0.3899,,10.806000000000001
3624,YKL021C,0.1224,,7.835999999999999
3625,YKL022C,0.1468,1.062,5.238
3626,YKL023C-A,,,
3627,YKL023W,0.0591,1.716,6.39
3628,YKL024C,0.0696,17.958000000000002,10.206
3629,YKL025C,0.1863,4.194,8.225999999999999
3630,YKL026C,0.0236,,4.218
3631,YKL027W,0.2089,3.0,13.998000000000001
3632,YKL028W,0.159,13.416,9.882000000000001
3633,YKL029C,0.375,,16.8
3634,YKL030W,,,
3635,YKL031W,,,
3636,YKL032C,0.352,6.264,17.669999999999998
3637,YKL033W,,1.1280000000000001,
3638,YKL033W-A,,,
3639,YKL034W,0.0945,,3.738
3640,YKL035W,,,
3641,YKL036C,,,
3642,YKL037W,,,
3643,YKL038W,0.3024,0.834,7.752000000000001
3644,YKL039W,0.1526,4.890000000000001,8.741999999999999
3645,YKL040C,0.1226,4.890000000000001,14.334
3646,YKL041W,0.1138,3.966,15.198000000000002
3647,YKL042W,0.0815,1.044,6.726
3648,YKL043W,0.1601,4.272,13.097999999999999
3649,YKL044W,,1.422,
3650,YKL045W,0.1203,1.5959999999999999,6.828
3651,YKL046C,0.1537,15.581999999999999,10.260000000000002
3652,YKL047W,0.0577,3.084,3.3480000000000003
3653,YKL048C,0.1712,,8.016
3654,YKL049C,,3.7199999999999998,
3655,YKL050C,,0.06,
3656,YKL051W,0.1743,3.834,14.784
3657,YKL052C,0.1923,,19.716
3658,YKL053C-A,,,
3659,YKL053W,0.0622,,14.964
3660,YKL054C,0.7504,3.54,30.474
3661,YKL055C,0.0893,0.084,9.618
3662,YKL056C,0.303,183.26399999999998,54.215999999999994
3663,YKL057C,,6.84,
3664,YKL058W,0.034,8.646,8.322
3665,YKL059C,0.159,13.536,10.806000000000001
3666,YKL060C,2.3971,668.79,199.938
3667,YKL061W,,,
3668,YKL062W,0.1416,1.752,6.7379999999999995
3669,YKL063C,0.0591,17.274,10.572
3670,YKL064W,0.2,2.778,6.186
3671,YKL065C,0.0524,8.25,7.608
3672,YKL065W-A,,,
3673,YKL066W,,0.75,
3674,YKL067W,0.0423,,8.256
3675,YKL068W,0.2466,,7.71
3676,YKL068W-A,,,
3677,YKL069W,0.0335,10.362,5.568
3678,YKL070W,0.035,0.228,6.186
3679,YKL071W,0.0323,0.402,3.7800000000000002
3680,YKL072W,0.0929,,3.636
3681,YKL073W,0.0685,5.028,2.3280000000000003
3682,YKL074C,0.1041,,5.9159999999999995
3683,YKL075C,0.1284,,8.549999999999999
3684,YKL076C,,7.4399999999999995,
3685,YKL077W,0.1429,12.528,10.92
3686,YKL078W,0.1153,,4.704
3687,YKL079W,0.1731,6.39,7.908
3688,YKL080W,0.0952,50.028,7.272
3689,YKL081W,0.7359,,42.348
3690,YKL082C,0.4239,,29.256
3691,YKL083W,,,
3692,YKL084W,0.0234,,6.012
3693,YKL085W,0.0968,9.3,8.676
3694,YKL086W,,0.372,
3695,YKL087C,0.061,2.424,8.142
3696,YKL088W,0.1804,2.244,9.468
3697,YKL089W,0.097,,5.292
3698,YKL090W,0.0586,0.708,3.966
3699,YKL091C,0.0656,2.124,6.336
3700,YKL092C,0.271,0.858,7.362
3701,YKL093W,0.0857,0.276,7.572
3702,YKL094W,0.1585,11.916,15.161999999999999
3703,YKL095W,0.0617,0.21,6.642
3704,YKL096C-B,,,
3705,YKL096W,0.0927,4.884,11.604
3706,YKL096W-A,,,
3707,YKL097C,,0.072,
3708,YKL098W,0.0582,,4.878
3709,YKL099C,0.075,5.586,8.976
3710,YKL100C,0.293,6.768,14.958
3711,YKL100W-A,,,
3712,YKL101W,0.4045,2.892,7.992000000000001
3713,YKL102C,,0.102,
3714,YKL103C,0.0737,0.606,4.295999999999999
3715,YKL104C,0.2774,2.226,11.598
3716,YKL105C,0.1887,0.5640000000000001,4.998
3717,YKL106C-A,,,
3718,YKL106W,0.1362,1.374,9.048
3719,YKL107W,0.0263,,2.544
3720,YKL108W,0.0884,0.378,5.844
3721,YKL109W,0.4159,,22.494
3722,YKL110C,0.0979,10.668000000000001,9.36
3723,YKL111C,,,
3724,YKL112W,0.1528,,6.264
3725,YKL113C,0.1364,,10.692
3726,YKL114C,0.1066,,8.7
3727,YKL115C,0.0057,,1.314
3728,YKL116C,0.1297,,7.505999999999999
3729,YKL117W,0.1391,29.424,19.254
3730,YKL118W,0.0107,0.108,3.09
3731,YKL119C,0.0577,4.74,8.022
3732,YKL120W,0.1638,,15.138000000000002
3733,YKL121W,0.049,2.388,1.722
3734,YKL122C,0.0652,,11.658
3735,YKL123W,0.0219,,5.178
3736,YKL124W,,,
3737,YKL125W,0.2747,3.0540000000000003,13.134
3738,YKL126W,0.1452,11.214,6.396
3739,YKL127W,,6.414,
3740,YKL128C,0.1062,2.742,10.782
3741,YKL129C,,4.686,
3742,YKL130C,0.1641,2.91,19.956
3743,YKL131W,,0.168,
3744,YKL132C,0.0359,,2.5020000000000002
3745,YKL133C,0.0369,0.7020000000000001,2.382
3746,YKL134C,0.1258,1.368,4.896000000000001
3747,YKL135C,0.1855,,7.656
3748,YKL136W,,,
3749,YKL137W,,14.982000000000001,
3750,YKL138C,0.0417,,9.492
3751,YKL138C-A,,,
3752,YKL139W,0.1187,3.228,6.7379999999999995
3753,YKL140W,0.0629,,3.444
3754,YKL141W,0.0899,8.922,13.578
3755,YKL142W,0.2052,7.35,28.026
3756,YKL143W,0.2266,10.001999999999999,14.664
3757,YKL144C,,12.522,
3758,YKL145W,0.4262,54.072,27.342
3759,YKL145W-A,,,
3760,YKL146W,0.1445,3.45,6.258
3761,YKL147C,0.0517,0.162,7.542000000000001
3762,YKL148C,,2.034,
3763,YKL149C,0.0969,,7.164000000000001
3764,YKL150W,0.0559,4.901999999999999,5.537999999999999
3765,YKL151C,0.2038,,18.108
3766,YKL152C,1.0453,,126.624
3767,YKL153W,,,
3768,YKL154W,0.0418,,5.1240000000000006
3769,YKL155C,0.1776,4.8,8.478
3770,YKL156C-A,,,
3771,YKL156W,0.2577,268.104,38.778
3772,YKL157W,0.0944,14.892,2.664
3773,YKL159C,0.0416,1.3559999999999999,5.904
3774,YKL160W,0.0786,7.452,16.188
3775,YKL161C,,3.1199999999999997,
3776,YKL162C,0.0142,0.204,1.062
3777,YKL162C-A,,,
3778,YKL163W,,3.228,
3779,YKL164C,0.5619,72.936,49.344
3780,YKL165C,,,
3781,YKL165C-A,,,
3782,YKL166C,0.1128,,8.489999999999998
3783,YKL167C,,7.476,
3784,YKL168C,0.1172,3.966,4.854
3785,YKL169C,0.0317,,7.446
3786,YKL170W,0.0665,,14.376000000000001
3787,YKL171W,0.1424,1.308,4.602
3788,YKL172W,0.3561,11.442,24.978
3789,YKL173W,0.2223,7.308000000000001,6.612
3790,YKL174C,0.0994,,4.818
3791,YKL175W,,,
3792,YKL176C,0.2061,,7.4639999999999995
3793,YKL177W,0.0161,,4.295999999999999
3794,YKL178C,,0.9359999999999999,
3795,YKL179C,0.2444,,10.787999999999998
3796,YKL180W,0.2871,73.926,30.048000000000002
3797,YKL181W,0.4566,30.408,32.028000000000006
3798,YKL182W,2.9336,13.194,42.894
3799,YKL183C-A,,,
3800,YKL183W,0.2075,2.016,20.298
3801,YKL184W,0.1621,8.658000000000001,10.421999999999999
3802,YKL185W,0.4497,22.421999999999997,22.92
3803,YKL186C,0.0845,14.394,13.722
3804,YKL187C,0.0538,,2.154
3805,YKL188C,0.0591,0.6,2.076
3806,YKL189W,0.0453,3.336,3.402
3807,YKL190W,0.0678,17.106,10.116
3808,YKL191W,0.1371,5.154,7.692
3809,YKL192C,0.0372,14.58,8.874
3810,YKL193C,,,
3811,YKL194C,0.0444,0.096,2.88
3812,YKL195W,0.3805,,28.278
3813,YKL196C,0.0732,36.426,10.95
3814,YKL197C,0.3312,0.768,9.522
3815,YKL198C,0.315,2.538,14.544
3816,YKL201C,0.0686,,1.746
3817,YKL202W,,,
3818,YKL203C,0.4314,,5.232
3819,YKL204W,0.2124,3.9779999999999998,10.074
3820,YKL205W,0.113,,3.078
3821,YKL206C,0.0943,,10.572
3822,YKL207W,0.0759,,8.969999999999999
3823,YKL208W,0.0348,2.9280000000000004,3.846
3824,YKL209C,,2.526,
3825,YKL210W,0.7116,15.09,20.832
3826,YKL211C,0.0776,10.272,4.8
3827,YKL212W,0.2977,8.07,14.322
3828,YKL213C,,3.99,
3829,YKL214C,0.026,5.526,3.834
3830,YKL215C,0.1169,0.588,2.724
3831,YKL216W,0.5102,42.036,48.641999999999996
3832,YKL217W,0.0712,1.512,3.462
3833,YKL218C,0.0413,9.6,3.7920000000000003
3834,YKL219W,,0.942,
3835,YKL220C,0.1027,0.858,4.332
3836,YKL221W,0.018,0.606,1.14
3837,YKL222C,0.0732,0.32999999999999996,3.114
3838,YKL223W,,,
3839,YKL224C,,,
3840,YKL225W,,,
3841,YKR001C,0.1645,6.414,7.008
3842,YKR002W,0.099,,5.22
3843,YKR003W,0.0643,,4.302
3844,YKR004C,0.1164,,8.466000000000001
3845,YKR005C,,0.7979999999999999,
3846,YKR006C,0.0369,6.696000000000001,4.176
3847,YKR007W,0.057,1.206,9.264000000000001
3848,YKR008W,0.1642,2.616,7.872000000000001
3849,YKR009C,,1.146,
3850,YKR010C,0.1157,0.462,4.5
3851,YKR011C,0.0637,3.462,5.406
3852,YKR012C,0.0433,,10.344
3853,YKR013W,0.1001,27.306,9.107999999999999
3854,YKR014C,0.0614,14.010000000000002,7.848
3855,YKR015C,0.0421,,2.2199999999999998
3856,YKR016W,0.1016,6.804,5.64
3857,YKR017C,0.077,1.122,4.188
3858,YKR018C,0.2495,6.888,10.314
3859,YKR019C,0.1524,0.49200000000000005,7.428
3860,YKR020W,0.0879,4.686,16.014000000000003
3861,YKR021W,0.148,1.4340000000000002,4.848
3862,YKR022C,0.0657,6.666,6.1080000000000005
3863,YKR023W,0.0807,,4.56
3864,YKR024C,0.2174,,8.784
3865,YKR025W,0.16,31.644,16.979999999999997
3866,YKR026C,0.1382,25.08,13.565999999999999
3867,YKR027W,0.1618,6.090000000000001,6.336
3868,YKR028W,0.625,,17.064
3869,YKR029C,0.1264,,5.045999999999999
3870,YKR030W,0.0356,1.8780000000000001,3.9000000000000004
3871,YKR031C,,2.172,
3872,YKR032W,,,
3873,YKR033C,,,
3874,YKR034W,,0.072,
3875,YKR035C,0.0496,,6.9719999999999995
3876,YKR035W-A,0.0839,,12.306000000000001
3877,YKR036C,0.1535,4.2540000000000004,7.158
3878,YKR037C,0.043,,4.368
3879,YKR038C,0.1476,,11.453999999999999
3880,YKR039W,0.0149,0.834,0.744
3881,YKR040C,,,
3882,YKR041W,0.0538,,6.438000000000001
3883,YKR042W,0.7185,21.912000000000003,58.944
3884,YKR043C,0.2191,24.227999999999998,24.192
3885,YKR044W,0.2287,,15.462
3886,YKR045C,0.0661,,10.799999999999999
3887,YKR046C,0.1176,1.308,12.438
3888,YKR047W,0.066,,19.47
3889,YKR048C,0.3541,,25.434
3890,YKR049C,0.0421,4.986,9.45
3891,YKR050W,0.058,1.5299999999999998,1.9559999999999997
3892,YKR051W,0.0662,1.92,4.746
3893,YKR052C,0.07,0.498,6.888
3894,YKR053C,0.1482,2.016,10.986
3895,YKR054C,0.4712,0.696,3.456
3896,YKR055W,0.0282,2.646,2.904
3897,YKR056W,0.1839,10.386000000000001,8.622
3898,YKR057W,0.1919,90.69,29.526
3899,YKR058W,,7.074,
3900,YKR059W,0.1796,147.174,13.613999999999999
3901,YKR060W,0.0986,3.384,10.764
3902,YKR061W,0.096,1.458,6.762
3903,YKR062W,0.0846,15.81,7.722
3904,YKR063C,0.1143,3.9119999999999995,6.822
3905,YKR064W,,2.826,
3906,YKR065C,0.0711,3.738,10.794
3907,YKR066C,0.1427,8.976,11.838000000000001
3908,YKR067W,0.0703,0.768,2.838
3909,YKR068C,0.1107,4.050000000000001,17.148
3910,YKR069W,0.0963,2.472,4.8660000000000005
3911,YKR070W,0.1056,6.1259999999999994,8.982
3912,YKR071C,0.1944,29.16,16.722
3913,YKR072C,0.4975,9.456,26.526
3914,YKR073C,0.0131,,3.69
3915,YKR074W,0.0523,5.88,10.086
3916,YKR075C,,,
3917,YKR075W-A,,,
3918,YKR076W,0.0355,0.9359999999999999,2.8739999999999997
3919,YKR077W,0.0637,,5.25
3920,YKR078W,0.058,,2.97
3921,YKR079C,,,
3922,YKR080W,,28.884,
3923,YKR081C,0.1686,8.261999999999999,14.676
3924,YKR082W,0.2209,4.944,5.724
3925,YKR083C,0.0739,3.156,16.59
3926,YKR084C,0.1238,8.988,6.072
3927,YKR085C,0.081,12.834,12.42
3928,YKR086W,0.2308,0.42600000000000005,6.462000000000001
3929,YKR087C,0.13,3.018,11.286
3930,YKR088C,,6.72,
3931,YKR089C,0.1394,1.902,4.596
3932,YKR090W,0.2047,3.93,8.688
3933,YKR091W,0.066,2.3339999999999996,8.028
3934,YKR092C,0.2282,25.41,16.836000000000002
3935,YKR093W,0.1328,6.138,6.624
3936,YKR094C,0.2622,,31.29
3937,YKR095W,,2.34,
3938,YKR095W-A,,,
3939,YKR096W,0.2552,2.0820000000000003,6.402
3940,YKR097W,0.029,0.3,1.584
3941,YKR098C,0.0557,0.8099999999999999,2.3280000000000003
3942,YKR099W,0.2339,1.134,8.646
3943,YKR100C,0.1457,3.516,12.288
3944,YKR101W,0.1084,,4.794
3945,YKR102W,0.0693,0.516,1.776
3946,YKR103W,0.1061,,2.61
3947,YKR104W,0.0166,0.546,1.626
3948,YKR105C,0.0468,,2.4059999999999997
3949,YKR106W,,,
3950,YLL001W,0.1994,6.54,7.896
3951,YLL002W,0.0668,2.514,4.59
3952,YLL003W,0.1463,,4.638
3953,YLL004W,0.1192,,5.796
3954,YLL005C,0.0634,,2.19
3955,YLL006W,0.0416,,2.9280000000000004
3956,YLL006W-A,,,
3957,YLL007C,0.1451,0.09,6.54
3958,YLL008W,0.3806,5.454,15.168000000000001
3959,YLL009C,0.0632,,27.216
3960,YLL010C,0.2075,,14.556000000000001
3961,YLL011W,0.1943,5.526,11.904
3962,YLL012W,0.0727,,3.804
3963,YLL013C,0.1663,,5.67
3964,YLL014W,0.0212,10.944,5.8500000000000005
3965,YLL015W,0.3229,,6.21
3966,YLL018C,1.446,19.434,77.78999999999999
3967,YLL018C-A,,,
3968,YLL019C,0.2409,,9.798
3969,YLL019W-A,,,
3970,YLL020C,,0.7799999999999999,
3971,YLL021W,0.2816,3.246,5.76
3972,YLL022C,0.0485,3.9119999999999995,3.768
3973,YLL023C,0.1642,10.794,17.616000000000003
3974,YLL024C,,29.328,
3975,YLL025W,0.0115,,2.772
3976,YLL026W,1.1384,,37.583999999999996
3977,YLL027W,0.1607,6.87,19.236
3978,YLL028W,0.0779,2.6999999999999997,3.984
3979,YLL029W,0.3746,8.352,14.994
3980,YLL030C,0.0068,0.096,1.7999999999999998
3981,YLL031C,0.2238,2.3939999999999997,6.593999999999999
3982,YLL032C,0.079,,2.8739999999999997
3983,YLL033W,0.0227,5.94,2.952
3984,YLL034C,0.1009,0.912,3.618
3985,YLL035W,0.1016,,4.818
3986,YLL036C,0.1586,,9.444
3987,YLL037W,0.0301,,7.116
3988,YLL038C,0.1117,1.2,13.530000000000001
3989,YLL039C,0.3423,6.168,26.904
3990,YLL040C,0.3231,4.224,3.084
3991,YLL041C,0.0403,4.194,4.536
3992,YLL042C,,,
3993,YLL043W,0.1812,6.69,8.118
3994,YLL044W,0.1348,,27.21
3995,YLL045C,0.4775,115.812,55.818
3996,YLL046C,0.0095,,1.14
3997,YLL047W,0.0264,,6.198
3998,YLL048C,0.3967,,7.164000000000001
3999,YLL049W,,,
4000,YLL050C,0.1658,20.34,24.468
4001,YLL051C,0.1687,5.796,7.098
4002,YLL052C,,,
4003,YLL053C,0.0677,1.818,13.296
4004,YLL054C,0.1129,,4.398000000000001
4005,YLL055W,0.0396,1.494,2.238
4006,YLL056C,0.0296,,2.97
4007,YLL057C,0.0431,1.02,3.132
4008,YLL058W,0.0813,1.0739999999999998,4.236
4009,YLL059C,0.0168,,2.982
4010,YLL060C,,,
4011,YLL061W,0.0271,2.262,1.392
4012,YLL062C,0.0122,,1.1280000000000001
4013,YLL063C,0.0269,1.032,1.7040000000000002
4014,YLL064C,0.0049,,1.218
4015,YLL065W,,,
4016,YLL066C,,,
4017,YLL066W-A,,,
4018,YLL066W-B,,,
4019,YLL067C,,,
4020,YLL067W-A,,,
4021,YLR001C,0.0785,,2.73
4022,YLR002C,0.2225,,10.062
4023,YLR003C,0.0598,3.4259999999999997,6.1499999999999995
4024,YLR004C,0.0497,,2.85
4025,YLR005W,0.0793,,5.154
4026,YLR006C,0.123,1.254,5.178
4027,YLR007W,0.0779,11.292,6.942
4028,YLR008C,0.046,4.548,8.178
4029,YLR009W,,18.990000000000002,
4030,YLR010C,0.0295,,5.513999999999999
4031,YLR011W,0.0432,,6.762
4032,YLR012C,,0.06,
4033,YLR013W,,,
4034,YLR014C,0.0909,,3.012
4035,YLR015W,0.0822,,4.878
4036,YLR016C,0.0873,,12.798
4037,YLR017W,0.0939,,8.34
4038,YLR018C,0.1006,,10.068
4039,YLR019W,,6.018,
4040,YLR020C,0.0973,5.274,5.418
4041,YLR021W,0.0361,,6.03
4042,YLR022C,0.1011,,12.102
4043,YLR023C,0.0775,4.236,4.2780000000000005
4044,YLR024C,0.25,0.816,4.008
4045,YLR025W,0.0722,9.612,8.994
4046,YLR026C,0.0926,13.092,8.154
4047,YLR027C,0.3054,41.879999999999995,21.882
4048,YLR028C,0.3351,48.678000000000004,16.986
4049,YLR029C,0.3811,142.38000000000002,55.854
4050,YLR030W,0.0405,0.408,4.608
4051,YLR031W,0.0754,1.23,12.126
4052,YLR032W,0.1943,0.6,4.986
4053,YLR033W,0.1173,6.054,7.002
4054,YLR034C,0.0824,0.858,5.22
4055,YLR035C,0.0879,,3.7920000000000003
4056,YLR036C,0.0381,0.8999999999999999,5.61
4057,YLR037C,,,
4058,YLR038C,0.0236,6.894,8.466000000000001
